Time,rep1,rep2,rep3,rep4
16.97998,-0.04831769,-0.04682123,-0.0445493,-0.0454428
17.09998,-0.04860669,-0.04698573,-0.044752,-0.0455676
17.21998,-0.04874199,-0.04718603,-0.0449083,-0.0456927
17.33998,-0.04887369,-0.04734243,-0.0450112,-0.0459331
17.45998,-0.04900809,-0.04754123,-0.0451423,-0.0461583
17.57998,-0.04921899,-0.04760343,-0.0453288,-0.0462731
17.69998,-0.04939899,-0.04776353,-0.0455236,-0.0463635
17.81998,-0.04951039,-0.04795623,-0.0456712,-0.0465325
17.93998,-0.04968189,-0.04817303,-0.0458502,-0.046736
18.05998,-0.04978119,-0.04833373,-0.0459358,-0.0469048
18.17998,-0.04994599,-0.04843553,-0.0460197,-0.0470626
18.29998,-0.05008499,-0.04858233,-0.0462065,-0.0471483
18.41998,-0.05034399,-0.04875423,-0.0463268,-0.0472857
18.53998,-0.05045309,-0.04893793,-0.0464567,-0.0474152
18.65998,-0.05055609,-0.04907293,-0.0465651,-0.0476259
18.77998,-0.05072539,-0.04919643,-0.0466916,-0.0477608
18.89998,-0.05089859,-0.04936883,-0.0468701,-0.0479046
19.01998,-0.05109829,-0.04949413,-0.0469707,-0.0480444
19.13998,-0.05119799,-0.04972113,-0.0471212,-0.0481559
19.25998,-0.05133779,-0.04983743,-0.0473133,-0.0483384
19.37998,-0.05144899,-0.04996983,-0.0474112,-0.0484894
19.49998,-0.05157949,-0.05006893,-0.0474602,-0.0486067
19.61998,-0.05178779,-0.05022793,-0.0476195,-0.0487229
19.73998,-0.05194509,-0.05038393,-0.0477414,-0.0488476
19.85998,-0.05203899,-0.05054323,-0.0478523,-0.0489724
19.97998,-0.05214699,-0.05066963,-0.0479226,-0.0491476
20.09998,-0.05230389,-0.05076173,-0.0480648,-0.0492477
20.21998,-0.05244259,-0.05087463,-0.048217,-0.0493465
20.33998,-0.05262249,-0.05102433,-0.0483301,-0.0494515
20.45998,-0.05274889,-0.05119293,-0.0484327,-0.0495831
20.57998,-0.05279119,-0.05133863,-0.0484844,-0.0497552
20.69998,-0.05291809,-0.05148283,-0.0486116,-0.0498615
20.81998,-0.05302549,-0.05154913,-0.0487377,-0.0499737
20.93998,-0.05321069,-0.05168713,-0.0488655,-0.0502014
21.05998,-0.05335509,-0.05181633,-0.0489891,-0.0501558
21.17998,-0.05345409,-0.05197743,-0.0490955,-0.0504312
21.29998,-0.05355259,-0.05209863,-0.0491642,-0.0504903
21.41998,-0.05368869,-0.05215653,-0.0492957,-0.0505898
21.53998,-0.05380129,-0.05233903,-0.0494501,-0.0506613
21.65998,-0.05397029,-0.05239023,-0.049522,-0.0507495
21.77998,-0.05400349,-0.05257203,-0.0496143,-0.0509146
21.89998,-0.05405879,-0.05262113,-0.049673,-0.0510524
22.01998,-0.05417299,-0.05268283,-0.0497725,-0.0511369
22.13998,-0.05436019,-0.05298013,-0.049939,-0.051208
22.25998,-0.05454409,-0.05300933,-0.0500308,-0.051286
22.37998,-0.05467189,-0.05310533,-0.0501433,-0.0514913
22.49998,-0.05465649,-0.05321973,-0.0501483,-0.0515814
22.61998,-0.05476649,-0.05337203,-0.0502882,-0.0516801
22.73998,-0.05493049,-0.05337573,-0.0503993,-0.0517741
22.85998,-0.05503939,-0.05349883,-0.0504966,-0.0518457
22.97998,-0.05517049,-0.05362953,-0.050563,-0.0519271
23.09998,-0.05523099,-0.05376673,-0.0506551,-0.0521316
23.21998,-0.05529709,-0.05382443,-0.0506957,-0.0522646
