Time,rep1,rep2,rep3,rep4,rep5
12.89999,-0.07846422,-0.07490764,-0.0730322,-0.06922106,-0.07052838
13.01999,-0.07848522,-0.07492524,-0.0730443,-0.06919336,-0.07055258
13.13999,-0.07853772,-0.07497184,-0.0730242,-0.06915396,-0.07057518
13.25999,-0.07856672,-0.07495334,-0.0730299,-0.06920486,-0.07054638
13.37999,-0.07858042,-0.07490604,-0.0730108,-0.06931396,-0.07055518
13.49999,-0.07851642,-0.07493314,-0.0728834,-0.06928536,-0.07057428
13.61999,-0.07851752,-0.07493964,-0.0728848,-0.06931746,-0.07068468
13.73999,-0.07852142,-0.07497744,-0.0729202,-0.06923586,-0.07057358
13.85999,-0.07855782,-0.07499474,-0.0729035,-0.06921596,-0.07055588
13.97999,-0.07854672,-0.07492164,-0.0728717,-0.06922906,-0.07054018
14.09999,-0.07848662,-0.07488284,-0.0728674,-0.06923966,-0.07053768
14.21999,-0.07846122,-0.07488374,-0.0728889,-0.06921176,-0.07057058
14.33999,-0.07847782,-0.07493204,-0.0728913,-0.06920976,-0.07061738
14.45999,-0.07853442,-0.07493964,-0.072925,-0.06917986,-0.07059698
14.57999,-0.07852402,-0.07493254,-0.0729089,-0.06917346,-0.07058958
14.69999,-0.07850012,-0.07490244,-0.0728415,-0.06921116,-0.07056388
14.81999,-0.07847472,-0.07488044,-0.0728382,-0.06923276,-0.07062528
14.93999,-0.07848712,-0.07492924,-0.0728384,-0.06913756,-0.07062158
15.05999,-0.07852212,-0.07499814,-0.0728533,-0.06913216,-0.07060418
15.17999,-0.07857142,-0.07502524,-0.0728693,-0.06915626,-0.07057768
15.29999,-0.07858502,-0.07498404,-0.0728508,-0.06921516,-0.07054098
15.41999,-0.07853652,-0.07499414,-0.0728441,-0.06920496,-0.07056518
15.53999,-0.07850762,-0.07494794,-0.0728174,-0.06913896,-0.07061868
15.65999,-0.07851502,-0.07511794,-0.0728988,-0.06926766,-0.07068348
15.77999,-0.07854962,-0.07500954,-0.0729027,-0.06938446,-0.07065088
15.89998,-0.07856882,-0.07500654,-0.0729182,-0.06941616,-0.07058938
16.01998,-0.07851562,-0.07496454,-0.0728596,-0.06923776,-0.07061968
16.13998,-0.07845812,-0.07499284,-0.072865,-0.06918626,-0.07063578
16.25998,-0.07850602,-0.07507754,-0.072916,-0.06909166,-0.07067068
16.37998,-0.07855782,-0.07508804,-0.0729162,-0.06911406,-0.07082588
16.49998,-0.07856362,-0.07511294,-0.0729257,-0.06916736,-0.07067348
16.61998,-0.07852322,-0.07505304,-0.0729068,-0.06919876,-0.07063508
16.73998,-0.07847352,-0.07502634,-0.0728468,-0.06915786,-0.07068118
16.85998,-0.07851192,-0.07503094,-0.0728388,-0.06909406,-0.07071318
16.97998,-0.07854312,-0.07510354,-0.0729276,-0.06911146,-0.07081348
17.09998,-0.07855702,-0.07509844,-0.0728187,-0.06938076,-0.07078788
17.21998,-0.07857692,-0.07503754,-0.0728115,-0.06945036,-0.07074448
17.33998,-0.07851792,-0.07498954,-0.0728893,-0.06938036,-0.07073138
17.45998,-0.07855812,-0.07503064,-0.0732812,-0.06933976,-0.07076568
17.57998,-0.07852522,-0.07507514,-0.0731933,-0.06930306,-0.07080458
17.69998,-0.07864152,-0.07505174,-0.0731915,-0.06932426,-0.07081128
17.81998,-0.07857102,-0.07512394,-0.0730921,-0.06933806,-0.07074218
17.93998,-0.07853402,-0.07504074,-0.0731667,-0.06913516,-0.07075098
18.05998,-0.07852272,-0.07503064,-0.073194,-0.06915366,-0.07074558
18.17998,-0.07851392,-0.07506244,-0.0730113,-0.06909286,-0.07080268
18.29998,-0.07864032,-0.07511414,-0.0729965,-0.06908126,-0.07080398
18.41998,-0.07860252,-0.07510484,-0.0730458,-0.06910496,-0.07075218
18.53998,-0.07860472,-0.07505554,-0.0730026,-0.06914356,-0.07076148
18.65998,-0.07853712,-0.07501574,-0.0730043,-0.06915706,-0.07073198
18.77998,-0.07854152,-0.07505994,-0.0730121,-0.06922316,-0.07081278
18.89998,-0.07866692,-0.07511944,-0.0731048,-0.06908646,-0.07083578
19.01998,-0.07866132,-0.07505054,-0.0731162,-0.06913606,-0.07077498
19.13998,-0.07855652,-0.07501664,-0.0730908,-0.06909806,-0.07093248
19.25998,-0.07848112,-0.07499494,-0.073088,-0.06909556,-0.07080868
19.37998,-0.07854642,-0.07500874,-0.0730903,-0.06904736,-0.07079728
19.49998,-0.07857462,-0.07505774,-0.0731213,-0.06900666,-0.07080738
19.61998,-0.07860712,-0.07507454,-0.0730966,-0.06904066,-0.07112258
19.73998,-0.07864032,-0.07504874,-0.0731022,-0.06908086,-0.07123068
19.85998,-0.07859582,-0.07500274,-0.0730607,-0.06906306,-0.07074208
19.97998,-0.07861012,-0.07502564,-0.0730546,-0.06899456,-0.07075668
20.09998,-0.07860182,-0.07502784,-0.0731066,-0.06899516,-0.07086888
20.21998,-0.07865352,-0.07506924,-0.0731476,-0.06898466,-0.07081408
20.33998,-0.07857822,-0.07506094,-0.0731521,-0.06903126,-0.07087598
20.45998,-0.07862572,-0.07501264,-0.0730754,-0.06904486,-0.07085918
20.57998,-0.07859502,-0.07499564,-0.0731019,-0.06903786,-0.07086628
20.69998,-0.07857162,-0.07508894,-0.0731291,-0.06896776,-0.07084418
20.81998,-0.07861642,-0.07511654,-0.0731472,-0.06897786,-0.07086098
20.93998,-0.07863062,-0.07512304,-0.0731588,-0.06901176,-0.07087348
21.05998,-0.07861422,-0.07508404,-0.0730825,-0.06902246,-0.07090068
21.17998,-0.07854112,-0.07500544,-0.0730515,-0.06900416,-0.07083248
21.29998,-0.07861792,-0.07508784,-0.0730868,-0.06893836,-0.07095048
21.41998,-0.07867512,-0.07508794,-0.0731206,-0.06892986,-0.07086478
21.53998,-0.07862932,-0.07514604,-0.0730653,-0.06892056,-0.07087208
21.65998,-0.07860472,-0.07514654,-0.0730728,-0.06897106,-0.07082548
21.77998,-0.07855782,-0.07506914,-0.0730329,-0.06897716,-0.07085978
21.89998,-0.07855282,-0.07508404,-0.0730221,-0.06900926,-0.07087978
22.01998,-0.07864722,-0.07507774,-0.0731387,-0.06888906,-0.07094718
22.13998,-0.07872402,-0.07514264,-0.0731585,-0.06892306,-0.07091328
22.25998,-0.07865922,-0.07518204,-0.0731718,-0.06893676,-0.07092238
22.37998,-0.07860022,-0.07508914,-0.0731548,-0.06902336,-0.07085508
22.49998,-0.07863562,-0.07500444,-0.073302,-0.06890386,-0.07086888
22.61998,-0.07870822,-0.07504864,-0.0731445,-0.06884796,-0.07090228
22.73998,-0.07864562,-0.07506454,-0.0731324,-0.06884336,-0.07097808
22.85998,-0.07867052,-0.07511834,-0.0731815,-0.06891686,-0.07092498
22.97998,-0.07861552,-0.07520504,-0.0731728,-0.06892706,-0.07083888
23.09998,-0.07861282,-0.07505814,-0.0731763,-0.06893176,-0.07088108
23.21998,-0.07863532,-0.07506184,-0.0731178,-0.06880836,-0.07089568
23.33998,-0.07869382,-0.07509894,-0.0731908,-0.06878186,-0.07094948
23.45998,-0.07880222,-0.07512904,-0.0731757,-0.06881976,-0.07094578
23.57998,-0.07863532,-0.07512154,-0.0732015,-0.06884576,-0.07094068
23.69998,-0.07855372,-0.07509044,-0.0731793,-0.06883206,-0.07093348
23.81998,-0.07855822,-0.07507854,-0.0731083,-0.06888856,-0.07091978
23.93998,-0.07862112,-0.07507654,-0.0731836,-0.06876526,-0.07101038
24.05998,-0.07874912,-0.07516504,-0.0732304,-0.06876276,-0.07098918
24.17998,-0.07862902,-0.07513384,-0.0731951,-0.06880016,-0.07097878
24.29998,-0.07856152,-0.07513314,-0.0731806,-0.06879506,-0.07091798
24.41998,-0.07857622,-0.07505594,-0.073167,-0.06876996,-0.07092088
24.53998,-0.07856312,-0.07509194,-0.0731275,-0.06874306,-0.07096108
24.65998,-0.07859252,-0.07513924,-0.0732009,-0.06874726,-0.07102708
24.77998,-0.07863072,-0.07515644,-0.0731947,-0.06879186,-0.07099218
24.89998,-0.07858482,-0.07515154,-0.0731773,-0.06878436,-0.07092308
25.01998,-0.07855532,-0.07514234,-0.0731754,-0.06881036,-0.07097008
25.13998,-0.07854062,-0.07511674,-0.0731661,-0.06870586,-0.07116658
25.25998,-0.07858072,-0.07508884,-0.0732129,-0.06872396,-0.07122358
25.37998,-0.07862772,-0.07512524,-0.0732017,-0.06874006,-0.07100558
25.49998,-0.07858332,-0.07514214,-0.0732092,-0.06875436,-0.07095258
25.61998,-0.07852192,-0.07510934,-0.073159,-0.06875006,-0.07091328
25.73997,-0.07855692,-0.07515674,-0.073192,-0.06870336,-0.07094898
25.85997,-0.07856232,-0.07512034,-0.0732654,-0.06871836,-0.07097758
25.97997,-0.07862472,-0.07515284,-0.0732461,-0.06872056,-0.07097488
26.09997,-0.07862682,-0.07519874,-0.0732201,-0.06877406,-0.07112208
26.21997,-0.07856652,-0.07516254,-0.0732395,-0.06875026,-0.07096198
26.33997,-0.07856542,-0.07514254,-0.0732276,-0.06867486,-0.07095388
26.45997,-0.07861482,-0.07514704,-0.0732361,-0.06867396,-0.07098398
26.57997,-0.07865872,-0.07517434,-0.0732991,-0.06864756,-0.07102018
26.69997,-0.07870952,-0.07523254,-0.0732948,-0.06872246,-0.07105748
26.81997,-0.07867212,-0.07525424,-0.0732403,-0.06868786,-0.07098138
26.93997,-0.07863542,-0.07515724,-0.0732213,-0.06865736,-0.07096958
27.05997,-0.07862872,-0.07516884,-0.0732981,-0.06862456,-0.07096558
27.17997,-0.07872872,-0.07517264,-0.0733026,-0.06856906,-0.07105138
27.29997,-0.07871202,-0.07521214,-0.0732842,-0.06862086,-0.07102588
27.41997,-0.07873632,-0.07519994,-0.07327,-0.06861796,-0.07101978
27.53997,-0.07864452,-0.07515294,-0.0733284,-0.06859846,-0.07101678
27.65997,-0.07866782,-0.07515114,-0.0732636,-0.06857306,-0.07098018
27.77997,-0.07872072,-0.07517354,-0.0733346,-0.06854386,-0.07104708
27.89997,-0.07872522,-0.07516704,-0.0733475,-0.06856366,-0.07107398
28.01997,-0.07868152,-0.07519254,-0.0733905,-0.06862516,-0.07106928
28.13997,-0.07864372,-0.07522874,-0.0733716,-0.06862036,-0.07099858
28.25997,-0.07871872,-0.07517384,-0.0733772,-0.06853446,-0.07102268
28.37997,-0.07869292,-0.07516754,-0.0735938,-0.06855916,-0.07100378
28.49997,-0.07873072,-0.07517654,-0.0735061,-0.06850836,-0.07105448
28.61997,-0.07869942,-0.07522004,-0.0735095,-0.06859336,-0.07107368
28.73997,-0.07868142,-0.07519844,-0.0734459,-0.06856186,-0.07100588
28.85997,-0.07866642,-0.07513014,-0.0734453,-0.06854406,-0.07100428
28.97997,-0.07868342,-0.07516294,-0.0734614,-0.06853466,-0.07103818
29.09997,-0.07885642,-0.07517594,-0.0735451,-0.06853326,-0.07110928
29.21997,-0.07873472,-0.07518234,-0.0736305,-0.06859166,-0.07120048
29.33997,-0.07875092,-0.07518184,-0.0736736,-0.06853546,-0.07105368
29.45997,-0.07869492,-0.07517814,-0.0736449,-0.06865556,-0.07098958
29.57997,-0.07873042,-0.07513504,-0.0736895,-0.06849746,-0.07099308
29.69997,-0.07877972,-0.07514444,-0.0737034,-0.06847966,-0.07103728
29.81997,-0.07877112,-0.07519364,-0.0737978,-0.06849576,-0.07106388
29.93997,-0.07878732,-0.07524344,-0.073777,-0.06853176,-0.07106818
30.05997,-0.07875502,-0.07524914,-0.0737875,-0.06851786,-0.07102438
30.17997,-0.07874712,-0.07521594,-0.073771,-0.06846476,-0.07102928
30.29997,-0.07875292,-0.07515204,-0.0737983,-0.06845546,-0.07105248
30.41997,-0.07881372,-0.07516524,-0.0739019,-0.06846476,-0.07109928
30.53997,-0.07878082,-0.07524574,-0.0738696,-0.06849516,-0.07107138
30.65997,-0.07877612,-0.07528084,-0.0738811,-0.06851566,-0.07105018
30.77997,-0.07874712,-0.07521484,-0.0738747,-0.06846586,-0.07099498
30.89997,-0.07872982,-0.07522704,-0.0738836,-0.06842636,-0.07106698
31.01997,-0.07879042,-0.07513584,-0.0739306,-0.06842556,-0.07109998
31.13997,-0.07881812,-0.07518504,-0.0739727,-0.06851416,-0.07121178
31.25997,-0.07879782,-0.07518944,-0.073898,-0.06845426,-0.07113358
31.37997,-0.07873202,-0.07519004,-0.0738366,-0.06845326,-0.07104778
31.49997,-0.07874212,-0.07516934,-0.0738873,-0.06838236,-0.07106688
31.61997,-0.07877102,-0.07515664,-0.073916,-0.06840296,-0.07106438
31.73997,-0.07880632,-0.07524194,-0.0739611,-0.06844446,-0.07107488
31.85997,-0.07876952,-0.07519314,-0.0739601,-0.06847326,-0.07109098
31.97997,-0.07875242,-0.07518434,-0.0739091,-0.06844156,-0.07107408
32.09997,-0.07869632,-0.07510324,-0.073924,-0.06833886,-0.07104538
32.21997,-0.07868312,-0.07517844,-0.0738716,-0.06836146,-0.07107028
32.33997,-0.07873532,-0.07519964,-0.0739218,-0.06837136,-0.07115198
32.45997,-0.07878452,-0.07525644,-0.07395,-0.06842946,-0.07113228
32.57997,-0.07871902,-0.07526524,-0.0740117,-0.06845186,-0.07111968
32.69997,-0.07868162,-0.07528314,-0.0739991,-0.06838276,-0.07113828
32.81997,-0.07867782,-0.07521754,-0.0739295,-0.06835086,-0.07110578
32.93997,-0.07872382,-0.07519794,-0.0739847,-0.06835996,-0.07114338
33.05997,-0.07873712,-0.07526764,-0.0740119,-0.06840526,-0.07119608
33.17997,-0.07870502,-0.07528624,-0.073992,-0.06836406,-0.07112288
33.29997,-0.07867692,-0.07529664,-0.0739656,-0.06836426,-0.07116178
33.41997,-0.07866262,-0.07518334,-0.0739672,-0.06832616,-0.07117128
33.53997,-0.07871252,-0.07516034,-0.0739688,-0.06834336,-0.07117858
33.65997,-0.07874342,-0.07519144,-0.0740259,-0.06838616,-0.07125938
33.77997,-0.07869952,-0.07522394,-0.0740154,-0.06836806,-0.07115378
33.89997,-0.07867502,-0.07520334,-0.0740146,-0.06839046,-0.07113688
34.01997,-0.07867272,-0.07519134,-0.0740348,-0.06831346,-0.07112218
34.13997,-0.07877422,-0.07514674,-0.0740554,-0.06830616,-0.07111978
34.25997,-0.07871992,-0.07520294,-0.0740589,-0.06833036,-0.07115238
34.37997,-0.07869972,-0.07519734,-0.0740483,-0.06836156,-0.07116258
34.49997,-0.07870992,-0.07523104,-0.074065,-0.06836986,-0.07111628
34.61997,-0.07865222,-0.07520334,-0.0740022,-0.06835246,-0.07110078
34.73997,-0.07866872,-0.07511754,-0.0739896,-0.06829906,-0.07111208
34.85997,-0.07871082,-0.07518034,-0.074077,-0.06834596,-0.07115698
34.97997,-0.07867722,-0.07521334,-0.0740676,-0.06839316,-0.07124758
35.09997,-0.07873192,-0.07524254,-0.0740442,-0.06832276,-0.07118498
35.21997,-0.07867172,-0.07523154,-0.0739753,-0.06829466,-0.07113598
35.33997,-0.07866962,-0.07518284,-0.0739604,-0.06829106,-0.07113988
35.45997,-0.07871752,-0.07518054,-0.0739898,-0.06829276,-0.07114158
35.57997,-0.07873392,-0.07520354,-0.0740416,-0.06839996,-0.07119058
35.69996,-0.07873272,-0.07527114,-0.0739732,-0.06833986,-0.07123198
35.81996,-0.07866542,-0.07524064,-0.0739598,-0.06830076,-0.07113748
35.93996,-0.07867522,-0.07537034,-0.0739362,-0.06825236,-0.07108698
36.05996,-0.07866602,-0.07519964,-0.0740427,-0.06825616,-0.07118238
36.17996,-0.07871912,-0.07515484,-0.0739964,-0.06825786,-0.07135798
36.29996,-0.07872032,-0.07521834,-0.0739834,-0.06828626,-0.07118468
36.41996,-0.07873312,-0.07527674,-0.073998,-0.06830916,-0.07119168
36.53996,-0.07865932,-0.07532814,-0.0739502,-0.06827056,-0.07113658
36.65996,-0.07869212,-0.07531344,-0.0739685,-0.06822426,-0.07118648
36.77996,-0.07868672,-0.07518494,-0.0740157,-0.06820706,-0.07120078
36.89996,-0.07873922,-0.07517854,-0.0740262,-0.06826426,-0.07119958
37.01996,-0.07871892,-0.07520744,-0.0740181,-0.06829916,-0.07119788
37.13996,-0.07869202,-0.07521844,-0.0740067,-0.06823056,-0.07114168
37.25996,-0.07864452,-0.07519484,-0.0740131,-0.06822486,-0.07115698
37.37996,-0.07871202,-0.07517554,-0.0739663,-0.06823906,-0.07118528
37.49996,-0.07875092,-0.07511584,-0.0740986,-0.06825216,-0.07122058
37.61996,-0.07877002,-0.07521984,-0.0740762,-0.06826216,-0.07119728
37.73996,-0.07881782,-0.07522904,-0.0741651,-0.06825506,-0.07117458
37.85996,-0.07866842,-0.07519924,-0.07403,-0.06820096,-0.07117188
37.97996,-0.07868962,-0.07512274,-0.0739914,-0.06820586,-0.07119448
38.09996,-0.07873362,-0.07517214,-0.0740275,-0.06828846,-0.07121688
38.21996,-0.07877642,-0.07521254,-0.0740193,-0.06828786,-0.07122208
