family,assay_type,spearman,model
Q2N0S5_9HIV1_Haddox_2018,OrganismalFitness,-0.0020856056006383,m0
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Binding,0.3642783635443667,m0
Q53Z42_HUMAN_McShan_2019_expression,Expression,0.4886433959874456,m0
Q59976_STRSQ_Romero_2015,Activity,0.5155601722314042,m0
Q6WV12_9MAXI_Somermeyer_2022,Activity,0.0108204647006962,m0
Q837P4_ENTFA_Meier_2023,Activity,0.4919157577451623,m0
Q837P5_ENTFA_Meier_2023,Activity,0.3341121219548665,m0
Q8WTC7_9CNID_Somermeyer_2022,Activity,-0.0233333893477849,m0
R1AB_SARS2_Flynn_2022,OrganismalFitness,0.0785007800214347,m0
RAD_ANTMA_Tsuboyama_2023_2CJJ,Stability,0.7039564409983169,m0
RAF1_HUMAN_Zinkus-Boltz_2019,OrganismalFitness,0.4418541444330806,m0
RASH_HUMAN_Bandaru_2017,Activity,0.4868937047739224,m0
RASK_HUMAN_Weng_2022_abundance,Expression,0.334755569419065,m0
RASK_HUMAN_Weng_2022_binding-DARPin_K55,Binding,0.6206085293097697,m0
RBP1_HUMAN_Tsuboyama_2023_2KWH,Stability,0.4912670184318675,m0
RCD1_ARATH_Tsuboyama_2023_5OAO,Stability,0.4980694467958997,m0
RCRO_LAMBD_Tsuboyama_2023_1ORC,Stability,0.4513277390107139,m0
RD23A_HUMAN_Tsuboyama_2023_1IFY,Stability,0.5334688418034916,m0
RDRP_I33A0_Li_2023,OrganismalFitness,0.1275429946029264,m0
REV_HV1H2_Fernandes_2016,OrganismalFitness,0.1727072738437191,m0
RFAH_ECOLI_Tsuboyama_2023_2LCL,Stability,0.0550999909863836,m0
RL20_AQUAE_Tsuboyama_2023_1GYZ,Stability,0.486626630415271,m0
RL40A_YEAST_Mavor_2016,OrganismalFitness,0.482393523425475,m0
RL40A_YEAST_Roscoe_2013,OrganismalFitness,0.5335485589040063,m0
RL40A_YEAST_Roscoe_2014,Activity,0.5292010623367496,m0
RNC_ECOLI_Weeks_2023,Activity,0.5879407947817329,m0
RPC1_BP434_Tsuboyama_2023_1R69,Stability,0.7520462323212898,m0
RPC1_LAMBD_Li_2019_high-expression,Activity,0.4009876234876234,m0
RPC1_LAMBD_Li_2019_low-expression,Activity,0.3634246309246309,m0
RS15_GEOSE_Tsuboyama_2023_1A32,Stability,0.5100514396614692,m0
S22A1_HUMAN_Yee_2023_abundance,Expression,0.558274822526065,m0
S22A1_HUMAN_Yee_2023_activity,Activity,0.4768319051428976,m0
SAV1_MOUSE_Tsuboyama_2023_2YSB,Stability,0.4959036096633907,m0
SBI_STAAM_Tsuboyama_2023_2JVG,Stability,0.376190562152332,m0
SC6A4_HUMAN_Young_2021,Activity,0.5024752992696557,m0
SCIN_STAAR_Tsuboyama_2023_2QFF,Stability,0.2787286268742454,m0
SDA_BACSU_Tsuboyama_2023_1PV0,Stability,0.6076243397841845,m0
SERC_HUMAN_Xie_2023,OrganismalFitness,0.5294608632148226,m0
SHOC2_HUMAN_Kwon_2022,OrganismalFitness,0.267088149847975,m0
SOX30_HUMAN_Tsuboyama_2023_7JJK,Stability,0.3326402769352642,m0
SPA_STAAU_Tsuboyama_2023_1LP1,Stability,-0.064072440933617,m0
SPG1_STRSG_Olson_2014,Binding,0.2641152092821649,m0
SPG1_STRSG_Wu_2016,Binding,0.1178648786961805,m0
SPG2_STRSG_Tsuboyama_2023_5UBS,Stability,0.4506932277520499,m0
SPTN1_CHICK_Tsuboyama_2023_1TUD,Stability,0.6266821287304618,m0
SQSTM_MOUSE_Tsuboyama_2023_2RRU,Stability,0.5285653231793216,m0
SR43C_ARATH_Tsuboyama_2023_2N88,Stability,0.702325826118306,m0
SRBS1_HUMAN_Tsuboyama_2023_2O2W,Stability,0.7312275458052157,m0
SRC_HUMAN_Ahler_2019,Activity,0.4899790066853096,m0
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,Activity,0.3928479697092169,m0
SRC_HUMAN_Nguyen_2022,OrganismalFitness,0.3873821920670972,m0
SUMO1_HUMAN_Weile_2017,OrganismalFitness,0.5325123576777951,m0
SYUA_HUMAN_Newberry_2020,OrganismalFitness,0.1504009533198786,m0
TADBP_HUMAN_Bolognesi_2019,OrganismalFitness,0.0206560677592723,m0
TAT_HV1BR_Fernandes_2016,OrganismalFitness,-0.005330055717976,m0
TCRG1_MOUSE_Tsuboyama_2023_1E0L,Stability,0.7839607355538444,m0
THO1_YEAST_Tsuboyama_2023_2WQG,Stability,0.5478535419580292,m0
TNKS2_HUMAN_Tsuboyama_2023_5JRT,Stability,0.5893081094854238,m0
TPK1_HUMAN_Weile_2017,OrganismalFitness,0.2531081913034998,m0
TPMT_HUMAN_Matreyek_2018,Expression,0.5314075274629948,m0
TPOR_HUMAN_Bridgford_2020,OrganismalFitness,0.2944498540949266,m0
TRPC_SACS2_Chan_2017,OrganismalFitness,0.6183906472899279,m0
TRPC_THEMA_Chan_2017,OrganismalFitness,0.5034705297396569,m0
UBC9_HUMAN_Weile_2017,OrganismalFitness,0.4025856463328941,m0
UBE4B_HUMAN_Tsuboyama_2023_3L1X,Stability,0.4897266037907048,m0
UBR5_HUMAN_Tsuboyama_2023_1I2T,Stability,0.1579197553208712,m0
VG08_BPP22_Tsuboyama_2023_2GP8,Stability,0.6011745530835011,m0
VILI_CHICK_Tsuboyama_2023_1YU5,Stability,0.6521391108239625,m0
VKOR1_HUMAN_Chiasson_2020_abundance,Expression,0.5001029816838769,m0
VKOR1_HUMAN_Chiasson_2020_activity,Activity,0.3689394521727852,m0
VRPI_BPT7_Tsuboyama_2023_2WNM,Stability,0.5067825686522923,m0
YAIA_ECOLI_Tsuboyama_2023_2KVT,Stability,0.5721171008444962,m0
YAP1_HUMAN_Araya_2012,Binding,0.4511983109754006,m0
YNZC_BACSU_Tsuboyama_2023_2JVD,Stability,0.649897589443943,m0
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Binding,0.340688138899032,m1
R1AB_SARS2_Flynn_2022,OrganismalFitness,0.3053422108160747,m1
HIS7_YEAST_Pokusaeva_2019,OrganismalFitness,0.4950380674875078,m1
P53_HUMAN_Giacomelli_2018_Null_Nutlin,OrganismalFitness,0.3006008101969016,m1
ENV_HV1BR_Haddox_2016,OrganismalFitness,0.3352738660237847,m1
IF1_ECOLI_Kelsic_2016,OrganismalFitness,0.3809339970910873,m1
OXDA_RHOTO_Vanella_2023_activity,Activity,0.3937146411165116,m1
RAF1_HUMAN_Zinkus-Boltz_2019,OrganismalFitness,0.4488265839608325,m1
ODP2_GEOSE_Tsuboyama_2023_1W4G,Stability,0.1482096924861941,m1
ARGR_ECOLI_Tsuboyama_2023_1AOY,Stability,0.4457531403102081,m1
HMDH_HUMAN_Jiang_2019,OrganismalFitness,0.3092428843980045,m1
RPC1_LAMBD_Li_2019_low-expression,Activity,0.4061893943687845,m1
I6TAH8_I68A0_Doud_2015,OrganismalFitness,0.264801299153708,m1
TNKS2_HUMAN_Tsuboyama_2023_5JRT,Stability,0.6072516999015101,m1
MLAC_ECOLI_MacRae_2023,OrganismalFitness,0.3348362739549417,m1
SHOC2_HUMAN_Kwon_2022,OrganismalFitness,0.3229571874576946,m1
MK01_HUMAN_Brenan_2016,OrganismalFitness,0.1682074532564698,m1
P84126_THETH_Chan_2017,OrganismalFitness,0.557554665237416,m1
VRPI_BPT7_Tsuboyama_2023_2WNM,Stability,0.5073527760422938,m1
ENVZ_ECOLI_Ghose_2023,Activity,0.2050371420684758,m1
UBR5_HUMAN_Tsuboyama_2023_1I2T,Stability,0.5016886572407091,m1
A4_HUMAN_Seuma_2022,Stability,0.3834173888763484,m1
BLAT_ECOLX_Firnberg_2014,OrganismalFitness,0.7042261289883314,m1
SBI_STAAM_Tsuboyama_2023_2JVG,Stability,0.3406339600845823,m1
CATR_CHLRE_Tsuboyama_2023_2AMI,Stability,0.6621684890975126,m1
ESTA_BACSU_Nutschel_2020,Stability,0.2922424375670328,m1
AACC1_PSEAI_Dandage_2018,OrganismalFitness,0.3387938741398668,m1
A0A2Z5U3Z0_9INFA_Wu_2014,OrganismalFitness,0.4630966091617158,m1
Q59976_STRSQ_Romero_2015,Activity,0.6009863443073483,m1
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,Expression,0.360027272377128,m1
ENV_HV1B9_DuenasDecamp_2016,OrganismalFitness,0.397513725720617,m1
NRAM_I33A0_Jiang_2016,OrganismalFitness,0.4047326081174928,m1
TADBP_HUMAN_Bolognesi_2019,OrganismalFitness,0.0436681052708755,m1
CBPA2_HUMAN_Tsuboyama_2023_1O6X,Stability,0.7579694095219587,m1
KCNE1_HUMAN_Muhammad_2023_expression,Expression,0.0653190642733059,m1
GFP_AEQVI_Sarkisyan_2016,Activity,0.6342001385434746,m1
CASP3_HUMAN_Roychowdhury_2020,Activity,0.645052477362547,m1
A4D664_9INFA_Soh_2019,OrganismalFitness,0.2621547553445233,m1
SERC_HUMAN_Xie_2023,OrganismalFitness,0.5195119086152747,m1
RPC1_BP434_Tsuboyama_2023_1R69,Stability,0.7271835131677077,m1
SRC_HUMAN_Ahler_2019,Activity,0.5149319416314724,m1
CASP7_HUMAN_Roychowdhury_2020,Activity,0.5979782653730659,m1
S22A1_HUMAN_Yee_2023_abundance,Expression,0.5903741428431135,m1
NCAP_I34A1_Doud_2015,OrganismalFitness,0.3563909723498437,m1
A0A192B1T2_9HIV1_Haddox_2018,OrganismalFitness,0.4860106827637163,m1
P53_HUMAN_Giacomelli_2018_WT_Nutlin,OrganismalFitness,0.3217006907779166,m1
FKBP3_HUMAN_Tsuboyama_2023_2KFV,Stability,0.2797881631942543,m1
PPM1D_HUMAN_Miller_2022,OrganismalFitness,0.5383563305869519,m1
TPOR_HUMAN_Bridgford_2020,OrganismalFitness,0.4589387627619835,m1
HCP_LAMBD_Tsuboyama_2023_2L6Q,Stability,0.5830602740703462,m1
